Keyword,Similarity Score
"[('cbt therapy', 0.6945), ('health anxiety', 0.6452), ('therapy im', 0.4734), ('suffer', 0.3518), ('im struggling', 0.2568)]",0.6303931
"[('bad anxiety', 0.5744), ('im scared', 0.5424), ('im nauseous', 0.5287), ('really hope', 0.261), ('eat bc', 0.1714)]",0.61933756
"[('anxiety fear', 0.6824), ('losing control', 0.5271), ('control massive', 0.52), ('thing', 0.2293), ('losing', 0.1813)]",0.6063518
"[('help anxiety', 0.7263), ('natural way', 0.4017), ('life changing', 0.3528), ('help', 0.1797), ('way', 0.1318)]",0.6016375
"[('heart attack', 0.5029), ('im scared', 0.4187), ('bad recently', 0.3597), ('eat incase', 0.1845), ('got', 0.1194)]",0.60143274
"[('nihilist experience', 0.6428), ('feel difference', 0.5422), ('deppresive episode', 0.4417), ('delusion wan', 0.4002), ('ur regular', 0.2578)]",0.5928374
"[('gorge_junk_ instagram', 0.6584), ('order', 0.5983), ('got delivered', 0.4987), ('starting watching', 0.3436), ('ill', 0.2941)]",0.59283173
"[('stomach growl', 0.7674), ('im hungry', 0.5951), ('feel like', 0.3734), ('sameee', 0.3674), ('like need', 0.2381)]",0.591726
"[('severe kidney', 0.6507), ('disease', 0.3672), ('od', 0.2936), ('unless', 0.2608), ('hard', 0.2233)]",0.5898777
"[('physiological symptom', 0.5826), ('saving life', 0.4138), ('broken human', 0.3647), ('recognizing understanding', 0.2759), ('agreed year', 0.2231)]",0.58813494
"[('struggling breath', 0.5917), ('reason feel', 0.5089), ('walk earlier', 0.3851), ('suddenly overwhelmed', 0.3726), ('today nice', 0.2761)]",0.5879406
"[('hard start', 0.6095), ('im hopeful', 0.6022), ('start im', 0.4575), ('thinking', 0.3388), ('ill', 0.3071)]",0.5799967
"[('motivation left', 0.6797), ('baby making', 0.4217), ('light idk', 0.2966), ('anymore honestly', 0.2899), ('dont', 0.2146)]",0.5791085
"[('paintensioi feel', 0.5903), ('reassurance drs', 0.5246), ('appreciate tip', 0.331), ('freak body', 0.2248), ('wrong', 0.1196)]",0.57709134
"[('high vitamin', 0.569), ('help food', 0.4472), ('berg youtube', 0.3706), ('dr', 0.2354), ('hi look', 0.107)]",0.5752529
"[('happy support', 0.4488), ('therapy session', 0.3638), ('help process', 0.2498), ('im', 0.2028), ('waytry deep', 0.095)]",0.5730012
"[('sama werhhtpi', 0.7922), ('werhhtpi tk', 0.726), ('tk yakin', 0.6606), ('yakin heheh', 0.6094), ('tk', 0.456)]",0.5691008
"[('psychedelic experience', 0.6851), ('tried spirit', 0.508), ('check rose_psychede', 0.4436), ('molecule check', 0.2864), ('instagram self', 0.285)]",0.5687176
"[('bcoz root', 0.7405), ('addressing symptom', 0.478), ('root', 0.4334), ('cause', 0.3019), ('addressed', 0.2393)]",0.5672653
"[('anxiety freebie', 0.7366), ('bio link', 0.3323), ('isnt better', 0.1957), ('link', 0.1682), ('need', 0.1537)]",0.56713223
"[('semua complite', 0.7741), ('ah semua', 0.7347), ('tu ah', 0.5866), ('complite', 0.4364), ('ah', 0.1246)]",0.5656403
"[('youre safe', 0.561), ('need control', 0.5243), ('said think', 0.2528), ('actually telling', 0.1517), ('way ha', 0.1451)]",0.5653073
"[('utk bantuan', 0.6461), ('boleh pm', 0.5456), ('akak', 0.4776), ('noori', 0.459), ('pm', 0.2388)]",0.5614632
"[('mom shes', 0.4719), ('physiology foundation', 0.4663), ('health', 0.3289), ('useful', 0.1401), ('ready', 0.08)]",0.56050676
"[('raphtripper intagram', 0.7609), ('intagram guide', 0.7229), ('raphtripper', 0.6066), ('guide', 0.4809), ('intagram', 0.4789)]",0.5599628
"[('version matter', 0.5887), ('space', 0.5194), ('huge', 0.3358), ('life short', 0.3221), ('different think', 0.3062)]",0.55950826
"[('send direct', 0.6097), ('lovely fankindly', 0.497), ('current page', 0.4814), ('hey', 0.3049), ('click', 0.2652)]",0.558967
"[('open sharing', 0.6706), ('youre open', 0.6279), ('got work', 0.5306), ('work youre', 0.4268), ('got', 0.335)]",0.5586692
"[('agra mhe', 0.5866), ('guyi trip', 0.5211), ('thanks gorge_junk_', 0.4576), ('sell trusted', 0.2592), ('st', 0.2191)]",0.55801505
"[('dr berg', 0.7698), ('input dr', 0.4424), ('support team', 0.3372), ('thanks input', 0.3307), ('thanks', 0.2112)]",0.55638754
"[('offer need', 0.6313), ('yes offer', 0.5431), ('try hard', 0.3651), ('need try', 0.3397), ('yes', 0.224)]",0.5524281
"[('remedy ebuka', 0.7949), ('remedy', 0.5724), ('herb', 0.4383), ('dr', 0.31), ('clinic', 0.3017)]",0.5505731
"[('awful im', 0.5981), ('awful', 0.4646), ('im', 0.3499)]",0.5417613
"[('driving nightmare', 0.7873), ('nightmare', 0.5895), ('driving', 0.5064)]",0.5393974
"[('told cure', 0.8702), ('cure', 0.6883), ('told', 0.4625)]",0.5256343
[],0.4014532
